Cancer_stem_cell,T_cell,Hepatocyte,B_cell,Endothelial_cell,NK_cell,Monocyte,Macrophage,Plasma_cell,Myeloid_cell,Platelet,Mast_cell,Erythroblast,Epithelial_cell,Fibroblast,mDCs
PROM1,CD3D,ALB,MS4A1,PECAM1,NCAM1,CD14,CD68,SDC1,LYZ2,CD42B,CST3,TFRC,KRT19,MALAT1,CLEC9A
CD44,CD3E,AFP,CD19,VWF,NKG7,FCG3RA,CD163,MZB1,CD14,,KIT,GYPA,KRT7,COL1A1,XCR1
CD24,CD3G,CK18,CD79A,CD34,GNLY,FCGR3B,MRC1,IGHG1,CD68,,CPA3,KIT,PTPRC,DCN,
THY1,CD8A,KRT8,PAX5,VECAD,FCG3RA,S100A8,FCG3RA,CD38,FCG3RA,,FCER1A,BPGM,,COL1A2,
POU5F1,CD4,HNF4A,BLNK,KDR,FCGR3B,VCAN,LYZ2,CD27,,,TPSAB1,,,THY1,
SOX2,CD2,ARG1,PTPRC,CLDN5,GZMB,A100A9,MARCO,CD79A,,,HDC,,,,
ANPEP,PTPRC,,CD24,CD105,PRF1,CD68,APOE,JCHAIN,,,HPGDS,,,,
DCLK1,IL2RA,,,FLT1,GZMK,S100A12,C1QC,CD19,,,,,,,
CD133,CD7,,,MCAM,XCL1,SELL,C1QB,,,,,,,,
CD90,IL-7R,,,,XCL2,NEAT1,APOC1,,,,,,,,
EPCAM,CD28,,,,CD56,,TREM2,,,,,,,,
CD13,CD27,,,,CD16,,LGMN,,,,,,,,
AFP,TCRA,,,,,,ADGRE1,,,,,,,,
ALDH,LEF1,,,,,,C1QA,,,,,,,,
CD110,TCF7,,,,,,CD14,,,,,,,,
OCT4A,SELL,,,,,,CSF1R,,,,,,,,
OV6,IL7R,,,,,,ITGAM,,,,,,,,
SOX9,CD40LG,,,,,,MAFB,,,,,,,,
,ANXA1,,,,,,,,,,,,,,
,FOS,,,,,,,,,,,,,,
,JUN,,,,,,,,,,,,,,
,FOXP3,,,,,,,,,,,,,,
,SAT1,,,,,,,,,,,,,,
,CTLA4,,,,,,,,,,,,,,
,PDCD1,,,,,,,,,,,,,,
,CXCL13,,,,,,,,,,,,,,
,CD200,,,,,,,,,,,,,,
,TNFRSF18,,,,,,,,,,,,,,
,CD8B,,,,,,,,,,,,,,
,PF4,,,,,,,,,,,,,,
,PRR5,,,,,,,,,,,,,,
,SF1,,,,,,,,,,,,,,
,LIME1,,,,,,,,,,,,,,
,DNAJB1,,,,,,,,,,,,,,
,ARHGAP8,,,,,,,,,,,,,,
,GZMM,,,,,,,,,,,,,,
,SLC16A7,,,,,,,,,,,,,,
,SFRS7,,,,,,,,,,,,,,
,APBA2,,,,,,,,,,,,,,
,C4ORF15,,,,,,,,,,,,,,
,LEPROTL1,,,,,,,,,,,,,,
,ZNF91,,,,,,,,,,,,,,
,ZNF22,,,,,,,,,,,,,,
,TMC6,,,,,,,,,,,,,,
,FLT3LG,,,,,,,,,,,,,,
,CDKN2AIP,,,,,,,,,,,,,,
,TSC22D3,,,,,,,,,,,,,,
,TBCC,,,,,,,,,,,,,,
,RBM3,,,,,,,,,,,,,,
,ABT1,,,,,,,,,,,,,,
,C19ORF6,,,,,,,,,,,,,,
,CAMLG,,,,,,,,,,,,,,
,PPP1R2,,,,,,,,,,,,,,
,AES,,,,,,,,,,,,,,
,KLF9,,,,,,,,,,,,,,
,PRF1,,,,,,,,,,,,,,
,SYNE2,,,,,,,,,,,,,,
