"Model","TCGA-LIHC","GSE14520","GSE116174","ICGC"
"RSF",0.93365081638499,0.558615206707141,0.559561128526646,0.685616743357577
"RSF+CoxBoost",0.644084789458608,0.5938855160451,0.594827586206897,0.623719756568205
"RSF+Ridge",0.651031223145231,0.603931772188494,0.607366771159875,0.619415169956954
"RSF+Enet[alpha=0.1]",0.648453165282154,0.596487424111015,0.595611285266458,0.618821433872644
"RSF+Enet[alpha=0.2]",0.647737038097966,0.594319167389419,0.597962382445141,0.621047944188808
"RSF+Enet[alpha=0.3]",0.647593812661129,0.594752818733738,0.599529780564263,0.622532284399584
"RSF+Enet[alpha=0.4]",0.646018332855915,0.594897369181844,0.597962382445141,0.62030577408342
"RSF+Enet[alpha=0.5]",0.645767688341449,0.594174616941312,0.600313479623824,0.622086982336352
"RSF+Enet[alpha=0.6]",0.646233171011172,0.594608268285632,0.601097178683386,0.62282915244174
"RSF+Enet[alpha=0.7]",0.646161558292753,0.594897369181844,0.601097178683386,0.623571322547128
"RSF+Enet[alpha=0.8]",0.646125751933543,0.59569239664643,0.601097178683386,0.62282915244174
"RSF+Enet[alpha=0.9]",0.646233171011172,0.59569239664643,0.601097178683386,0.623719756568205
"RSF+Lasso",0.646197364651962,0.595764671870483,0.601880877742947,0.624165058631438
"RSF+GBM",0.765074477227156,0.517346053772767,0.561912225705329,0.724654890900994
"RSF+plsRcox",0.663456029790891,0.59908933217693,0.583855799373041,0.633071099896096
"RSF+StepCox[both]",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"RSF+StepCox[backward]",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"RSF+StepCox[forward]",0.663097966198797,0.598800231280717,0.577586206896552,0.631289891643165
"RSF+SuperPC",0.621777427671154,0.580297773923099,0.597962382445141,0.516847261392311
"RSF+survivalSVM",0.53376539673446,0.517346053772767,0.594043887147335,0.617485527682945
"Ridge",0.651102835863649,0.6040763226366,0.607366771159875,0.619563603978032
"Enet[alpha=0.1]",0.648488971641364,0.596415148886962,0.595611285266458,0.618821433872644
"Enet[alpha=0.2]",0.647737038097966,0.594319167389419,0.597962382445141,0.621196378209886
"Enet[alpha=0.3]",0.647665425379547,0.594752818733738,0.600313479623824,0.622532284399584
"Enet[alpha=0.4]",0.646125751933543,0.594825093957791,0.59717868338558,0.620602642125575
"Enet[alpha=0.5]",0.645767688341449,0.594174616941312,0.599529780564263,0.622235416357429
"Enet[alpha=0.6]",0.64630478372959,0.594174616941312,0.601097178683386,0.622977586462817
"Enet[alpha=0.7]",0.646233171011172,0.594969644405898,0.601097178683386,0.623719756568205
"Enet[alpha=0.8]",0.646089945574334,0.59569239664643,0.601097178683386,0.623274454504973
"Enet[alpha=0.9]",0.646125751933543,0.595620121422376,0.601097178683386,0.623571322547128
"Lasso",0.646233171011172,0.595620121422376,0.601880877742947,0.624016624610361
"StepCox[forward]",0.663097966198797,0.598800231280717,0.577586206896552,0.631289891643165
"StepCox[both]",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"StepCox[both]+CoxBoost",0.638319965625895,0.609569239664643,0.609717868338558,0.620454208104498
"StepCox[both]+Ridge",0.637603838441707,0.61108701936976,0.614420062695925,0.616594923556479
"StepCox[both]+Enet[alpha=0.1]",0.638463191062733,0.611809771610292,0.612852664576803,0.618672999851566
"StepCox[both]+Enet[alpha=0.2]",0.639036092810083,0.611954322058398,0.612852664576803,0.622383850378507
"StepCox[both]+Enet[alpha=0.3]",0.639608994557433,0.611882046834345,0.614420062695925,0.624907228736826
"StepCox[both]+Enet[alpha=0.4]",0.639895445431109,0.611448395490026,0.615203761755486,0.626094700905447
"StepCox[both]+Enet[alpha=0.5]",0.640217702663993,0.611159294593813,0.616771159874608,0.627133739052991
"StepCox[both]+Enet[alpha=0.6]",0.640289315382412,0.611520670714079,0.617554858934169,0.627727475137301
"StepCox[both]+Enet[alpha=0.7]",0.640432540819249,0.611448395490026,0.617554858934169,0.627579041116224
"StepCox[both]+Enet[alpha=0.8]",0.640325121741621,0.611665221162186,0.617554858934169,0.627430607095146
"StepCox[both]+Enet[alpha=0.9]",0.64039673446004,0.611592945938132,0.61833855799373,0.627727475137301
"StepCox[both]+Lasso",0.640826410770553,0.611954322058398,0.61833855799373,0.630399287516699
"StepCox[both]+GBM",0.729339730736179,0.571552471812663,0.538401253918495,0.642719311266142
"StepCox[both]+plsRcox",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"StepCox[both]+RSF",0.909230879404182,0.588898525585429,0.630094043887147,0.615852753451091
"StepCox[both]+SuperPC",0.604590375250645,0.588753975137323,0.597962382445141,0.525901736678047
"StepCox[both]+survivalSVM",0.529826697221427,0.546906620410523,0.576018808777429,0.590173667804661
"StepCox[backward]",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"StepCox[backward]+CoxBoost",0.638319965625895,0.609569239664643,0.609717868338558,0.620454208104498
"StepCox[backward]+Ridge",0.637603838441707,0.61108701936976,0.614420062695925,0.616594923556479
"StepCox[backward]+Enet[alpha=0.1]",0.638463191062733,0.611809771610292,0.612852664576803,0.618672999851566
"StepCox[backward]+Enet[alpha=0.2]",0.639036092810083,0.611954322058398,0.612852664576803,0.622383850378507
"StepCox[backward]+Enet[alpha=0.3]",0.639608994557433,0.611882046834345,0.614420062695925,0.624907228736826
"StepCox[backward]+Enet[alpha=0.4]",0.639895445431109,0.611448395490026,0.615203761755486,0.626094700905447
"StepCox[backward]+Enet[alpha=0.5]",0.640217702663993,0.611159294593813,0.616771159874608,0.627133739052991
"StepCox[backward]+Enet[alpha=0.6]",0.640289315382412,0.611520670714079,0.617554858934169,0.627727475137301
"StepCox[backward]+Enet[alpha=0.7]",0.640432540819249,0.611448395490026,0.617554858934169,0.627579041116224
"StepCox[backward]+Enet[alpha=0.8]",0.640325121741621,0.611665221162186,0.617554858934169,0.627430607095146
"StepCox[backward]+Enet[alpha=0.9]",0.64039673446004,0.611592945938132,0.61833855799373,0.627727475137301
"StepCox[backward]+Lasso",0.640826410770553,0.611954322058398,0.61833855799373,0.630399287516699
"StepCox[backward]+GBM",0.729339730736179,0.571552471812663,0.538401253918495,0.642719311266142
"StepCox[backward]+plsRcox",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"StepCox[backward]+RSF",0.909230879404182,0.588898525585429,0.630094043887147,0.615852753451091
"StepCox[backward]+SuperPC",0.604590375250645,0.588753975137323,0.597962382445141,0.525901736678047
"StepCox[backward]+survivalSVM",0.529826697221427,0.546906620410523,0.576018808777429,0.590173667804661
"CoxBoost",0.644084789458608,0.5938855160451,0.594827586206897,0.623719756568205
"CoxBoost+RSF",0.923410197651103,0.576973113616652,0.565830721003135,0.661125129879768
"CoxBoost+Ridge",0.647880263534804,0.592150910667823,0.593260188087774,0.619415169956954
"CoxBoost+Enet[alpha=0.1]",0.649026067029504,0.594752818733738,0.595611285266458,0.622532284399584
"CoxBoost+Enet[alpha=0.2]",0.649491549699227,0.594752818733738,0.594043887147335,0.623719756568205
"CoxBoost+Enet[alpha=0.3]",0.649491549699227,0.595331020526164,0.595611285266458,0.625055662757904
"CoxBoost+Enet[alpha=0.4]",0.649813806932111,0.596053772766696,0.594043887147335,0.626985305031913
"CoxBoost+Enet[alpha=0.5]",0.649957032368949,0.596415148886962,0.597962382445141,0.628172777200534
"CoxBoost+Enet[alpha=0.6]",0.650171870524205,0.597210176351547,0.598746081504702,0.629508683390233
"CoxBoost+Enet[alpha=0.7]",0.64988541965053,0.597499277247759,0.599529780564263,0.630102419474544
"CoxBoost+Enet[alpha=0.8]",0.650028645087368,0.59706562590344,0.597962382445141,0.631289891643165
"CoxBoost+Enet[alpha=0.9]",0.650064451446577,0.597210176351547,0.598746081504702,0.631289891643165
"CoxBoost+Lasso",0.650315095961043,0.597137901127494,0.600313479623824,0.632328929790708
"CoxBoost+GBM",0.741800343741048,0.568950563746748,0.525862068965517,0.669585869081193
"CoxBoost+plsRcox",0.652212832999141,0.595331020526164,0.602664576802508,0.639156894760279
"CoxBoost+StepCox[both]",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"CoxBoost+StepCox[backward]",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"CoxBoost+StepCox[forward]",0.652499283872816,0.59547557097427,0.603448275862069,0.639008460739201
"CoxBoost+SuperPC",0.623531939272415,0.583333333333333,0.589341692789969,0.522933056256494
"CoxBoost+survivalSVM",0.526818963047837,0.553266840127204,0.520376175548589,0.514472317055069
"plsRcox",0.663456029790891,0.59908933217693,0.583855799373041,0.633071099896096
"SuperPC",0.618411629905471,0.606895056374675,0.605015673981191,0.533026569689773
"GBM",0.765074477227156,0.517346053772767,0.561912225705329,0.724654890900994
"survivalSVM",0.534409911200229,0.517273778548713,0.595611285266458,0.617930829746178
"Lasso+CoxBoost",0.647235749069035,0.594969644405898,0.597962382445141,0.626688436989758
"Lasso+RSF",0.923410197651103,0.576973113616652,0.565830721003135,0.661125129879768
"Lasso+GBM",0.741800343741048,0.568950563746748,0.525862068965517,0.669585869081193
"Lasso+plsRcox",0.652212832999141,0.595331020526164,0.602664576802508,0.639156894760279
"Lasso+StepCox[both]",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"Lasso+StepCox[backward]",0.640862217129762,0.612026597282452,0.619122257053291,0.630993023601009
"Lasso+StepCox[forward]",0.652499283872816,0.59547557097427,0.603448275862069,0.639008460739201
"Lasso+SuperPC",0.623531939272415,0.583333333333333,0.589341692789969,0.522933056256494
"Lasso+survivalSVM",0.526818963047837,0.553266840127204,0.520376175548589,0.514472317055069
