"id","HR","HR.95L","HR.95H","pvalue"
"ACTB","1.47531876508588","1.11834111097972","1.94624469872859","0.00593638095095363"
"CD300A","1.19313306494789","1.00058053147218","1.42274056499722","0.049249316973927"
"CTSB","1.32080789910236","1.07064054347434","1.62942970632327","0.00940256024623505"
"CTSL","1.47803370636714","1.14407795160465","1.90947097100625","0.00278966670745284"
"CXCL8","1.14446926807342","1.06044643428529","1.23514952119885","0.000523300028812731"
"FYN","0.758693179474552","0.60459510386597","0.952067485992758","0.0171256668862909"
"HMOX1","1.22327450251597","1.07518267336527","1.39176397236949","0.00220596506001967"
"ICAM1","1.13561957698776","1.01110901333284","1.27546269159144","0.0318395116704504"
"IER3","1.17682155048438","1.05836193096986","1.308540038298","0.00263115249270279"
"LGALS1","1.19362562359119","1.04359165116154","1.36522952028954","0.00980772133105309"
"LGALS3","1.18501047578528","1.06645910287674","1.31674043939701","0.00159739127926633"
"PFKFB3","1.1573351540272","1.0432340745342","1.28391574953609","0.00579425566223904"
"PLAUR","1.24763648670101","1.08304430728813","1.43724203384186","0.00217552738059074"
"PPP1R15A","1.22814350749044","1.0307041560941","1.46340389341868","0.0215523850772058"
"PRNP","1.20143624312844","1.04056201870618","1.38718213845373","0.0123472724488325"
"S100A9","1.22209697783564","1.12554175833661","1.32693524000585","1.78559082191212e-06"
